,Date,Open,High,Low,Close,Change,Trend,Gap
133,2016-11-11,20033.85,20309.65,19704.35,19738.8,-295.0499999999993,Bearish,D
134,2016-11-15,19808.35,19861.75,19240.45,19289.75,-518.5999999999985,Bearish,U
135,2016-11-16,19591.25,19611.9,19088.4,19108.1,-483.15000000000146,Bearish,U
136,2016-11-17,19115.9,19328.75,19009.85,19087.85,-28.05000000000291,Bearish,U
137,2016-11-18,19180.3,19216.35,18897.1,18959.05,-221.25,Bearish,U
138,2016-11-21,19063.8,19075.95,18351.25,18446.4,-617.3999999999978,Bearish,U
139,2016-11-22,18626.7,18650.5,18322.7,18548.65,-78.04999999999927,Bearish,U
140,2016-11-23,18660.55,18669.05,18449.7,18540.9,-119.64999999999782,Bearish,U
141,2016-11-24,18476.0,18476.35,18215.8,18256.1,-219.90000000000146,Bearish,D
142,2016-11-25,18377.55,18546.35,18266.6,18507.3,129.75,Bullish,U
143,2016-11-28,18237.2,18471.65,18187.4,18301.45,64.25,Bullish,D
144,2016-11-29,18308.8,18427.4,18188.7,18223.75,-85.04999999999927,Bearish,U
145,2016-11-30,18306.1,18667.85,18262.5,18627.8,321.7000000000007,Bullish,U
146,2016-12-01,18676.75,18713.1,18389.65,18428.45,-248.29999999999927,Bearish,U
147,2016-12-02,18329.4,18490.5,18163.8,18247.65,-81.75,Bearish,D
148,2016-12-05,18245.0,18434.25,18189.5,18408.9,163.90000000000146,Bullish,D
149,2016-12-06,18459.7,18499.75,18365.95,18420.9,-38.79999999999927,Bearish,U
150,2016-12-07,18515.5,18588.75,17952.6,18234.15,-281.34999999999854,Bearish,U
151,2016-12-08,18342.6,18558.75,18336.95,18515.45,172.85000000000218,Bullish,U
152,2016-12-09,18567.95,18739.65,18432.3,18695.8,127.84999999999854,Bullish,U
153,2016-12-12,18616.05,18616.05,18364.05,18392.95,-223.09999999999854,Bearish,D
154,2016-12-13,18354.1,18492.85,18291.35,18466.05,111.95000000000073,Bullish,D
155,2016-12-14,18480.35,18485.45,18322.9,18341.5,-138.84999999999854,Bearish,U
156,2016-12-15,18143.5,18532.0,18122.1,18401.15,257.65000000000146,Bullish,D
157,2016-12-16,18417.9,18428.45,18268.3,18312.8,-105.10000000000218,Bearish,U
158,2016-12-19,18258.1,18316.8,18215.5,18257.05,-1.0499999999992724,Bearish,D
159,2016-12-20,18264.1,18274.9,18009.8,18069.4,-194.6999999999971,Bearish,U
160,2016-12-21,18124.6,18167.15,18043.95,18084.5,-40.099999999998545,Bearish,U
161,2016-12-22,18027.0,18029.6,17839.75,17891.45,-135.54999999999927,Bearish,D
162,2016-12-23,17849.25,17962.3,17819.75,17884.0,34.75,Bullish,D
163,2016-12-26,17825.5,17860.85,17606.9,17655.55,-169.95000000000073,Bearish,D
164,2016-12-27,17677.7,17907.35,17616.1,17879.55,201.84999999999854,Bullish,U
165,2016-12-28,17929.2,18059.65,17829.15,17876.7,-52.5,Bearish,U
166,2016-12-29,17861.45,18053.3,17829.4,18033.15,171.70000000000073,Bullish,D
167,2016-12-30,18026.35,18245.75,18016.8,18177.2,150.85000000000218,Bullish,D
168,2017-01-02,18242.3,18249.0,17844.9,17969.6,-272.7000000000007,Bearish,U
169,2017-01-03,18002.75,18115.05,17830.95,18035.6,32.849999999998545,Bullish,U
170,2017-01-04,18037.45,18092.85,17868.9,17891.0,-146.45000000000073,Bearish,U
171,2017-01-05,18000.75,18164.05,17977.8,18115.95,115.20000000000073,Bullish,U
172,2017-01-06,18168.45,18325.5,18157.3,18264.0,95.54999999999927,Bullish,U
173,2017-01-09,18314.25,18373.1,18256.15,18286.65,-27.599999999998545,Bearish,U
174,2017-01-10,18351.45,18441.15,18275.75,18409.6,58.14999999999782,Bullish,U
175,2017-01-11,18535.35,18889.45,18515.25,18830.0,294.65000000000146,Bullish,U
176,2017-01-12,18885.45,18966.3,18805.85,18873.95,-11.5,Bearish,U
177,2017-01-13,18949.7,18952.25,18781.25,18912.1,-37.60000000000218,Bearish,U
178,2017-01-16,18899.7,19134.5,18865.25,19096.45,196.75,Bullish,D
179,2017-01-17,19128.15,19202.25,18981.85,19067.05,-61.10000000000218,Bearish,U
180,2017-01-18,19074.85,19276.5,19072.1,19164.5,89.65000000000146,Bullish,U
181,2017-01-19,19165.35,19185.3,19046.1,19124.25,-41.099999999998545,Bearish,U
182,2017-01-20,18996.6,19071.65,18793.05,18820.8,-175.79999999999927,Bearish,D
183,2017-01-23,18762.0,18909.65,18722.85,18842.7,80.70000000000073,Bullish,D
184,2017-01-24,18931.0,19054.3,18906.95,19023.5,92.5,Bullish,U
185,2017-01-25,19120.05,19518.45,19114.15,19473.2,353.15000000000146,Bullish,U
186,2017-01-27,19588.4,19794.95,19534.9,19708.3,119.89999999999782,Bullish,U
187,2017-01-30,19718.8,19767.05,19561.1,19585.25,-133.54999999999927,Bearish,U
